x,y,cell_id,population ,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2596366,53.4393424,6.93E+18,65,0,0,0,2,0.5,1,1,2,2
-2.2581422,53.4411433,-4.56E+18,66,1,0,6,1,2,7.333333333,2.708012802,3.666666667,1.354006401
-2.2581858,53.448334,2.18E+18,147,0,0,0,1,0.25,0.25,0.5,1,2
-2.2565988,53.4348547,3.92E+17,80,2,4,5,5,4,2,1.414213562,0.5,0.353553391
-2.256691,53.4501349,2.90E+18,140,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2567181,53.4546291,-6.43E+17,95,0,0,0,2,0.5,1,1,2,2
-2.256767,53.4627187,3.04E+18,128,1,0,0,0,0.25,0.25,0.5,1,2
-2.2550236,53.4231729,6.46E+17,53,4,3,7,7,5.25,4.25,2.061552813,0.80952381,0.392676726
-2.255029,53.4240718,3.87E+18,65,6,5,7,6,6,0.666666667,0.816496581,0.111111111,0.136082763
-2.2552069,53.4537335,-3.26E+18,67,0,1,0,0,0.25,0.25,0.5,1,2
-2.2536688,53.4483437,-7.47E+17,104,1,1,2,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2536903,53.4519391,-7.27E+18,89,1,0,0,0,0.25,0.25,0.5,1,2
-2.253701,53.4537367,3.17E+17,108,1,2,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2521898,53.4528411,3.17E+18,63,1,0,0,0,0.25,0.25,0.5,1,2
-2.2521951,53.4537399,-3.39E+18,44,1,0,0,0,0.25,0.25,0.5,1,2
-2.2522271,53.459133,-8.06E+18,70,0,0,0,1,0.25,0.25,0.5,1,2
-2.2506469,53.4465524,-3.53E+18,30,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2506575,53.4483501,3.60E+17,120,0,0,3,2,1.25,2.25,1.5,1.8,1.2
-2.248994,53.421388,-6.94E+18,152,3,1,1,0,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2490308,53.4276799,1.04E+18,105,0,4,8,7,4.75,12.91666667,3.593976442,2.719298246,0.756626619
-2.2491466,53.4474544,-4.84E+18,119,1,3,4,5,3.25,2.916666667,1.707825128,0.897435897,0.525484655
-2.2491887,53.4546451,2.59E+18,88,0,0,1,0,0.25,0.25,0.5,1,2
-2.2492098,53.4582405,3.02E+18,56,1,0,0,0,0.25,0.25,0.5,1,2
-2.249215,53.4591393,7.82E+18,113,2,1,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2492203,53.4600381,6.92E+18,171,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2492361,53.4627346,-4.38E+18,227,2,0,0,0,0.5,1,1,2,2
-2.2475102,53.4249865,-5.88E+18,33,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2475363,53.4294807,5.13E+18,126,7,4,7,4,5.5,3,1.732050808,0.545454545,0.314918329
-2.2476148,53.4429633,-4.97E+18,42,3,4,1,1,2.25,2.25,1.5,1,0.666666667
-2.2476462,53.4483564,1.36E+18,75,3,1,2,0,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.247709,53.4591424,7.55E+18,109,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2460157,53.4267873,7.72E+18,128,6,5,2,6,4.75,3.583333333,1.892969449,0.754385965,0.398519884
-2.2460417,53.4312815,2.00E+18,65,3,4,5,3,3.75,0.916666667,0.957427108,0.244444444,0.255313895
-2.2445573,53.4348799,-2.06E+18,99,7,8,8,4,6.75,3.583333333,1.892969449,0.530864198,0.280439918
-2.2446296,53.4474637,-8.24E+18,34,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.24464,53.4492614,5.99E+18,41,2,3,1,1,1.75,0.916666667,0.957427108,0.523809524,0.547101204
-2.244759,53.4699347,2.64E+17,114,0,0,0,1,0.25,0.25,0.5,1,2
-2.2429751,53.4214004,-2.47E+18,42,1,0,0,0,0.25,0.25,0.5,1,2
-2.2430213,53.42949,1.78E+18,10,0,1,0,0,0.25,0.25,0.5,1,2
-2.2430264,53.4303888,-4.98E+18,44,2,2,2,2,2,0,0,0,0
-2.2431703,53.4555564,5.07E+18,228,2,1,7,3,3.25,6.916666667,2.62995564,2.128205128,0.80921712
-2.2432731,53.4735331,2.14E+18,580,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
