x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.2953148,53.5911637,5.042032168138667e+18,BL9 0QL,Greater Manchester,Bury,Buckley Wells,Hilton Road,53.5913241,53.5914241,-2.2955873,-2.2954873
-2.2953273,53.5929613,7.520561715023235e+18,BL9 0AS,Greater Manchester,Bury,Buckley Wells,Edwin Street,53.5912942,53.5940374,-2.2965771,-2.2924307
-2.2954026,53.6037471,1.3774720179651248e+17,BL9 5EE,Greater Manchester,Bury,Fernhill,Athlone Avenue,53.6019122,53.6030407,-2.2963109,-2.2945701
-2.2954214,53.6064435,-7.089245668992813e+18,BL9 6PA,Greater Manchester,Bury,Fernhill,Wooded Close,53.6068173,53.6073292,-2.2953886,-2.2950046
-2.2955094,53.6190269,4.2615840700893686e+18,BL9 6RN,Greater Manchester,Bury,Brandlesholme,Walmersley Road,53.6177164,53.6226974,-2.2974874,-2.2950231
-2.2936045,53.5624052,-7.110127483116008e+18,BL9 8DS,Greater Manchester,Whitefield,Blackford Bridge,Middleton Drive,53.5605104,53.5623814,-2.2953368,-2.2922126
-2.2937541,53.5839769,6.658874838199799e+18,BL9 9JQ,Greater Manchester,Radcliffe,Gigg,Morley Street,53.5835858,53.5843781,-2.2941873,-2.2928838
-2.2939289,53.6091437,-2.4168894424025226e+18,BL9 5HB,Greater Manchester,Bury,Chesham,Newton Street,53.6091938,53.6100531,-2.294352,-2.2934657
-2.2940227,53.6226258,7.540949498833059e+18,BL9 6RS,Greater Manchester,Bury,Unknown,Ribble Drive,53.6210617,53.6228482,-2.2940025,-2.292182
-2.2920267,53.5525219,4.773025426959896e+18,M45 8QU,Greater Manchester,Whitefield,Kirkhams,Stanley Close,53.552356,53.5528371,-2.2920153,-2.2916826
-2.2921196,53.5660042,1.8429684575663263e+18,BL9 9TD,Greater Manchester,Whitefield,Blackford Bridge,Manchester Road,53.5662927,53.5663927,-2.2923393,-2.2922393
-2.2922436,53.5839806,-7.247178154992272e+18,BL9 9JN,Greater Manchester,Radcliffe,Gigg,Morley Street,53.5842293,53.5845374,-2.2930925,-2.2924844
-2.2923616,53.601058,-4.941248946282525e+18,BL9 5AU,Greater Manchester,Bury,Fernhill,Back Regent Street,53.6011212,53.6011819,-2.2926596,-2.2917606
-2.2924113,53.6082485,8.235480531946897e+18,BL9 6PE,Greater Manchester,Bury,Chesham,Littlewood Avenue,53.6083375,53.6083633,-2.2940316,-2.2921153
-2.292461,53.615439,-4.36884030567797e+17,BL9 6RA,Greater Manchester,Bury,Chesham,Mather Road,53.6145872,53.6164147,-2.2936803,-2.2912592
-2.2924921,53.6199331,-6.7934942764497176e+16,BL9 6SD,Greater Manchester,Bury,Brandlesholme,Walmersley Old Road,53.6199363,53.6200363,-2.2923771,-2.2922771
-2.290185,53.5039891,2.890258733158304e+18,M6 6JS,Greater Manchester,Pendlebury,Unknown,Regatta Street,53.5035383,53.5038477,-2.2909684,-2.2902176
-2.2905851,53.5624126,9.875305230925412e+17,BL9 8HE,Greater Manchester,Bury,Blackford Bridge,Sunny Bank Road,53.5622789,53.5623789,-2.2906659,-2.2905659
-2.2908629,53.6028594,9.042094011083975e+18,BL9 6LL,Greater Manchester,Bury,Chesham,Walmersley Road,53.6022054,53.6023054,-2.290955,-2.290855
-2.2909,53.6082522,7.333335677263554e+18,BL9 6PQ,Greater Manchester,Bury,Chesham,Mosley Avenue,53.6081153,53.6081612,-2.2921439,-2.2900926
-2.2909247,53.6118475,1.5812750723059215e+18,BL9 6QA,Greater Manchester,Bury,Chesham,Hillside Crescent,53.6118301,53.6119243,-2.2911582,-2.2907191
-2.2887385,53.512981,-5.095854043883025e+18,M7 3QE,Greater Manchester,Pendlebury,Higher Broughton,Moor Lane,53.5126453,53.5150109,-2.2889979,-2.2693917
-2.289057,53.5597198,-6.878274563262427e+18,M45 8PJ,Greater Manchester,Whitefield,Blackford Bridge,Ripon Avenue,53.558441,53.5600144,-2.2909348,-2.2877848
-2.2892411,53.5866844,-4.750707481340616e+18,BL9 9AX,Greater Manchester,Radcliffe,Fishpool,Parkhills Road,53.5832537,53.5871994,-2.2985678,-2.2887753
-2.2877,53.5821939,7.87861134588517e+18,BL9 9EL,Greater Manchester,Bury,Gigg,Orchid Drive,53.5798731,53.5823961,-2.2876768,-2.2855865
-2.2859589,53.5480424,6.194115359639105e+18,M45 6DS,Greater Manchester,Whitefield,Kirkhams,Westminster Avenue,53.5472624,53.5486075,-2.2895894,-2.2859523
